time,e11,e22,e33,tw0,tr0,tw1,tr1,tw2,tr2,tw3,tr3,tw4,tr4,tw5,tr5,tw6,tr6,tw7,tr7,tw8,tr8,tw9,tr9,tw10,tr10,tw11,tr11,
150001,-0.00737606,-0.00737606,0.0150001,0.000203511,8.69893e-08,0.000203511,8.69893e-08,1.40359e+203,0,0.000203511,8.69893e-08,0.000203511,8.69893e-08,1.40359e+203,0,0.000203511,8.69893e-08,0.000203511,8.69893e-08,1.40359e+203,0,0.000203511,8.69893e-08,0.000203511,8.69893e-08,1.40359e+203,0
160001,-0.00786964,-0.00786964,0.0160001,0.00021329,8.29069e-08,0.00021329,8.29069e-08,1.40359e+203,0,0.00021329,8.29069e-08,0.00021329,8.29069e-08,1.40359e+203,0,0.00021329,8.29069e-08,0.00021329,8.29069e-08,1.40359e+203,0,0.00021329,8.29069e-08,0.00021329,8.29069e-08,1.40359e+203,0
170001,-0.0083635,-0.0083635,0.0170001,0.000222543,7.9348e-08,0.000222543,7.9348e-08,1.40359e+203,0,0.000222543,7.9348e-08,0.000222543,7.9348e-08,1.40359e+203,0,0.000222543,7.9348e-08,0.000222543,7.9348e-08,1.40359e+203,0,0.000222543,7.9348e-08,0.000222543,7.9348e-08,1.40359e+203,0
180001,-0.00885763,-0.00885763,0.0180001,0.000231275,7.62275e-08,0.000231275,7.62275e-08,1.40359e+203,0,0.000231275,7.62275e-08,0.000231275,7.62275e-08,1.40359e+203,0,0.000231275,7.62275e-08,0.000231275,7.62275e-08,1.40359e+203,0,0.000231275,7.62275e-08,0.000231275,7.62275e-08,1.40359e+203,0
190001,-0.00935203,-0.00935203,0.0190001,0.000239496,7.34775e-08,0.000239496,7.34775e-08,1.40359e+203,0,0.000239496,7.34775e-08,0.000239496,7.34775e-08,1.40359e+203,0,0.000239496,7.34775e-08,0.000239496,7.34775e-08,1.40359e+203,0,0.000239496,7.34775e-08,0.000239496,7.34775e-08,1.40359e+203,0
200001,-0.00984671,-0.00984671,0.0200001,0.000247219,7.10435e-08,0.000247219,7.10435e-08,1.40359e+203,0,0.000247219,7.10435e-08,0.000247219,7.10435e-08,1.40359e+203,0,0.000247219,7.10435e-08,0.000247219,7.10435e-08,1.40359e+203,0,0.000247219,7.10435e-08,0.000247219,7.10435e-08,1.40359e+203,0
210001,-0.0103417,-0.0103417,0.0210001,0.000254459,6.88809e-08,0.000254459,6.88809e-08,1.40359e+203,0,0.000254459,6.88809e-08,0.000254459,6.88809e-08,1.40359e+203,0,0.000254459,6.88809e-08,0.000254459,6.88809e-08,1.40359e+203,0,0.000254459,6.88809e-08,0.000254459,6.88809e-08,1.40359e+203,0
220001,-0.0108369,-0.0108369,0.0220001,0.000261231,6.69531e-08,0.000261231,6.69531e-08,1.40359e+203,0,0.000261231,6.69531e-08,0.000261231,6.69531e-08,1.40359e+203,0,0.000261231,6.69531e-08,0.000261231,6.69531e-08,1.40359e+203,0,0.000261231,6.69531e-08,0.000261231,6.69531e-08,1.40359e+203,0
230001,-0.0113324,-0.0113324,0.0230001,0.000267555,6.52296e-08,0.000267555,6.52296e-08,1.40359e+203,0,0.000267555,6.52296e-08,0.000267555,6.52296e-08,1.40359e+203,0,0.000267555,6.52296e-08,0.000267555,6.52296e-08,1.40359e+203,0,0.000267555,6.52296e-08,0.000267555,6.52296e-08,1.40359e+203,0
240001,-0.0118281,-0.0118281,0.0240001,0.00027345,6.36848e-08,0.00027345,6.36848e-08,1.40359e+203,0,0.00027345,6.36848e-08,0.00027345,6.36848e-08,1.40359e+203,0,0.00027345,6.36848e-08,0.00027345,6.36848e-08,1.40359e+203,0,0.00027345,6.36848e-08,0.00027345,6.36848e-08,1.40359e+203,0
